UTC_Time,UTC_Time_ms,Elapsed_Time_s,Event,Number,Lap,Segment_ID,Value,Detail,Distance_m
2026-09-24T13:06:23.906Z,1790255183906,0,RUN_START,,,,8,Bus B 7900e|Spec example 0-30-50-30-0|47DE-BDC2|time,0
2026-09-24T13:06:28.906Z,1790255188906,5,GO,,,,,reference start,0
2026-09-24T13:06:28.906Z,1790255188906,5,PHASE,,1,1,ACCEL,seg 1 lap 1,0
2026-09-24T13:06:36.126Z,1790255196126,12.22,IMU_CALIBRATED,,1,1,,forward axis found,11.02
2026-09-24T13:06:45.606Z,1790255205606,21.7,PHASE,,1,1,CONST,seg 1 lap 1,61.7
2026-09-24T13:06:55.606Z,1790255215606,31.7,PHASE,,1,2,ACCEL,seg 2 lap 1,144.96
2026-09-24T13:07:05.606Z,1790255225606,41.7,PHASE,,1,2,CONST,seg 2 lap 1,250.95
2026-09-24T13:07:25.606Z,1790255245606,61.7,PHASE,,1,3,DECEL,seg 3 lap 1,529
2026-09-24T13:07:34.906Z,1790255254906,71,PHASE,,1,3,CONST,seg 3 lap 1,654.86
2026-09-24T13:07:44.906Z,1790255264906,81,PHASE,,1,4,DECEL,seg 4 lap 1,741.21
2026-09-24T13:07:58.806Z,1790255278806,94.9,PHASE,,1,4,PAUSE,seg 4 lap 1,822.47
2026-09-24T13:08:20.806Z,1790255300806,116.9,RUN_END,,1,4,,COMPLETE,831.18
