UTC_Time_ms,Received_UTC_ms,Latitude,Longitude,Speed_ms,Accuracy_m,Heading_deg,Altitude_m,Flags
1790255184906,1790255184906,57.708916,11.974583,0,4,90.2,30,
1790255185906,1790255185906,57.708916,11.974583,0,4,90.4,30,
1790255186906,1790255186906,57.708916,11.974583,0,4,90.6,30,
1790255187906,1790255187906,57.708916,11.974583,0,4,90.8,30,
1790255188906,1790255188906,57.708916,11.974583,0,4,91,30,
1790255189906,1790255189906,57.708916,11.974585,0.108686,4,91.2,30,
1790255190906,1790255190906,57.708916,11.974594,0.75295,4,91.4,30,
1790255191906,1790255191906,57.708916,11.974614,1.427767,4,91.6,30,
1790255192906,1790255192906,57.708915,11.974643,1.856273,4,91.8,30,
1790255193906,1790255193906,57.708915,11.97468,2.399377,4,92,30,
1790255194906,1790255194906,57.708914,11.974726,2.89832,4,92.2,30,
1790255195906,1790255195906,57.708913,11.97478,3.369395,4,92.4,30,
1790255196906,1790255196906,57.708911,11.974843,3.86027,4,92.6,30,
1790255197906,1790255197906,57.708909,11.974914,4.366527,4,92.8,30,
1790255198906,1790255198906,57.708907,11.974994,4.832297,4,93,30,
1790255199906,1790255199906,57.708905,11.975081,5.348582,4,93.2,30,
1790255200906,1790255200906,57.708902,11.975178,5.851166,4,93.4,30,
1790255201906,1790255201906,57.708898,11.975282,6.420533,4,93.6,30,
1790255202906,1790255202906,57.708894,11.975395,6.956251,4,93.8,30,
1790255203906,1790255203906,57.70889,11.975516,7.430905,4,94,30,
1790255204906,1790255204906,57.708885,11.975646,7.861828,4,94.2,30,
1790255205906,1790255205906,57.708879,11.975784,8.313334,4,94.4,30,
1790255206906,1790255206906,57.708873,11.975927,8.521463,4,94.6,30,
1790255207906,1790255207906,57.708867,11.976068,8.432644,4,94.8,30,
1790255208906,1790255208906,57.708861,11.976209,8.470652,4,95,30,
1790255209906,1790255209906,57.708854,11.976348,8.24702,4,95.2,30,
1790255210906,1790255210906,57.708847,11.976488,8.240641,4,95.4,30,
1790255211906,1790255211906,57.70884,11.976627,8.32347,4,95.6,30,
