Elapsed_Time_s,UTC_Time,UTC_Time_ms,GPS_Speed_kmh,GPS_Latitude,GPS_Longitude,GPS_Accuracy_m,GPS_Measurement_UTC_ms,GPS_Data_Age_s,IMU_Accel_X_Raw,IMU_Accel_Y_Raw,IMU_Accel_Z_Raw,IMU_Data_Age_s,Longitudinal_Acceleration_Raw,Longitudinal_Acceleration_Filtered,Acceleration_Source,Actual_Speed_kmh,Actual_Acceleration,Reference_Speed_kmh,Reference_Acceleration,Speed_Error_kmh,Acceleration_Error,Reference_Time_s,Reference_Distance_m,Actual_Distance_m,Distance_Error_m,Cycle_ID,Lap,Segment_ID,Phase,Driver_Command,Next_Phase,Time_To_Next_Phase_s,Within_Speed_Tolerance,Within_Acceleration_Tolerance,Quality_Flags,Simulated
0.01,2026-09-24T13:06:23.916Z,1790255183916,,,,,,,,,,,,,,,,0,0,,,-4.99,0,0,,47DE-BDC2,,,PRE,READY,ACCEL,4.99,,,GPS_LOST|IMU_CAL|SIM,1
0.2,2026-09-24T13:06:24.106Z,1790255184106,,,,,,,0.022973,-0.058686,9.766336,0,,,,,,0,0,,,-4.8,0,0,,47DE-BDC2,,,PRE,READY,ACCEL,4.8,,,GPS_LOST|IMU_CAL|SIM,1
0.3,2026-09-24T13:06:24.206Z,1790255184206,,,,,,,-0.000327,0.041264,9.802795,0,,,,,,0,0,,,-4.7,0,0,,47DE-BDC2,,,PRE,READY,ACCEL,4.7,,,GPS_LOST|IMU_CAL|SIM,1
0.4,2026-09-24T13:06:24.306Z,1790255184306,,,,,,,-0.030629,0.047882,9.763314,0,,,,,,0,0,,,-4.6,0,0,,47DE-BDC2,,,PRE,READY,ACCEL,4.6,,,GPS_LOST|IMU_CAL|SIM,1
0.5,2026-09-24T13:06:24.406Z,1790255184406,,,,,,,-0.045617,-0.013995,9.820757,0,,,,,,0,0,,,-4.5,0,0,,47DE-BDC2,,,PRE,READY,ACCEL,4.5,,,GPS_LOST|IMU_CAL|SIM,1
0.6,2026-09-24T13:06:24.506Z,1790255184506,,,,,,,0.012877,-0.004845,9.795253,0,,,,,,0,0,,,-4.4,0,0,,47DE-BDC2,,,PRE,READY,ACCEL,4.4,,,GPS_LOST|IMU_CAL|SIM,1
0.7,2026-09-24T13:06:24.606Z,1790255184606,,,,,,,-0.014522,0.016397,9.804623,0,,,,,,0,0,,,-4.3,0,0,,47DE-BDC2,,,PRE,READY,ACCEL,4.3,,,GPS_LOST|IMU_CAL|SIM,1
0.8,2026-09-24T13:06:24.706Z,1790255184706,,,,,,,0.000112,-0.005415,9.822697,0,,,,,,0,0,,,-4.2,0,0,,47DE-BDC2,,,PRE,READY,ACCEL,4.2,,,GPS_LOST|IMU_CAL|SIM,1
0.9,2026-09-24T13:06:24.806Z,1790255184806,,,,,,,-0.004454,-0.003155,9.812202,0,,,,,,0,0,,,-4.1,0,0,,47DE-BDC2,,,PRE,READY,ACCEL,4.1,,,GPS_LOST|IMU_CAL|SIM,1
1,2026-09-24T13:06:24.906Z,1790255184906,0,57.708916,11.974583,4,1790255184906,0,0.029469,0.035066,9.809892,0,,,,0,,0,0,,,-4,0,0,,47DE-BDC2,,,PRE,READY,ACCEL,4,,,IMU_CAL|SIM,1
